gene_symbol,uniprotkb_ac
TRIM51GP,A0A3B3IT33
OR51C1P,A0A3B3IT45
RAMACL,A0A3B3IU46
BLACAT1,A0A494BZU2
TMEM217,A0A494BZU4
SPDYE21P,A0A494C086
TSPY9P,A0A494C1R9
TRBV4-2,A0A539
TRBV4-2,A0A539
TRBV3-1,A0A576
TRBV3-1,A0A576
TRBV4-1,A0A577
TRBV5-1,A0A578
TRBV5-1,A0A578
TRBV9,A0A580
TRBV11-2,A0A584
TRBV5-5,A0A597
TRBV5-6,A0A599
TRBV5-6,A0A599
TRBV11-3,A0A5A6
TRBV14,A0A5B0
TRBV28,A0A5B6
TRBV28,A0A5B6
TRBV29-1,A0A5B7
TRBV29-1,A0A5B7
TRBC2,A0A5B9
TRBV24-1,A0A5C1
KANSL1L,A0AUZ9
SLC12A8,A0AV02
RBM47,A0AV96
TTC26,A0AVF1
FER1L5,A0AVI2
TMEM129,A0AVI4
E2F8,A0AVK6
E2F8,A0AVK6
UBA6,A0AVT1
ESYT2,A0FGR8
ESYT3,A0FGR9
ESYT3,A0FGR9
TRAV29DV5,A0JD25
TRAV38-2DV8,A0JD32
TRDV2,A0JD36
TRDV2,A0JD36
TRDV3,A0JD37
TRDV3,A0JD37
MED19,A0JLT2
UHRF1BP1L,A0JNW5
POTEB3,A0JP26
IGLC7,A0M8Q6
SHTN1,A0MZ66
TRAJ40,A0N4X2
TRAJ40,A0N4X2
TRAJ34,A0N4X5
TRAJ34,A0N4X5
TRAJ14,A0N4Z3
TRAJ14,A0N4Z3
TRAJ10,A0N4Z7
TRAJ10,A0N4Z7
TRAJ9,A0N4Z8
TRAJ9,A0N4Z8
PLSCR5,A0PG75
DHRS12,A0PJE2
SLC5A10,A0PJK1
TMEM223,A0PJW6
DAPL1,A0PJW8
CIB4,A0PJX0
TLDC2,A0PJX2
TLDC2,A0PJX2
SHISA3,A0PJX4
TMEM82,A0PJX8
FEZF1,A0PJY2
ANKRD20A5P,A0PJZ0
GXYLT2,A0PJZ3
GXYLT2,A0PJZ3
TMEM120B,A0PK00
TMEM120B,A0PK00
TMEM72,A0PK05
CLRN2,A0PK11
HGNC:30443,A0ZSE6
TMEM30CP,A0ZSE6
PQLC2L,A1A4F0
LNP1,A1A4G5
ARHGAP10,A1A4S6
CCDC189,A1A4V9
IRGM,A1A4Y4
FAM170A,A1A519
FAM170A,A1A519
KRTAP23-1,A1A580
ANO9,A1A5B4
SLC22A23,A1A5C7
BICDL2,A1A5D9
ODAM,A1E959
ARHGEF37,A1IGU5
ARHGEF37,A1IGU5
FAM168B,A1KXE4
FAM168B,A1KXE4
PXDNL,A1KZ92
PXDNL,A1KZ92
MEX3A,A1L020
ILVBL,A1L0T0
ILVBL,A1L0T0
TSPAN11,A1L157
TSPAN11,A1L157
ERICH2,A1L162
UBE2QL1,A1L167
C20orf202,A1L168
C1orf226,A1L170
NDUFAF8,A1L188
SYCE3,A1L190
IGSF23,A1L1A6
PLEKHG3,A1L390
ELOVL7,A1L3X0
ELOVL7,A1L3X0
MT1DP,A1L3X4
GAGE12B,A1L429
NUTM2F,A1L443
PRSS38,A1L453
SSC5D,A1L4H1
FSD2,A1L4K1
PLAC8L1,A1L4L8
SH3PXD2B,A1X283
FAM92A,A1XBS5
ZBTB7C,A1YPR0
ZBTB7C,A1YPR0
MACROD2,A1Z1Q3
MACROD2,A1Z1Q3
ZC3H12D,A2A288
SERTM1,A2A2V5
FRMD3,A2A2Y4
ANKRD18B,A2A2Z9
ANKRD18B,A2A2Z9
ANKRD18B,A2A2Z9
MAGEB16,A2A368
MAGEB16,A2A368
PTPDC1,A2A3K4
TTC24,A2A3L6
PIPSL,A2A3N6
LY6G6E,A2ABS3
LY6G6E,A2ABS4
BCLAF3,A2AJT9
BCLAF3,A2AJT9
DYTN,A2CJ06
CCDC78,A2IDD5
IGKV2-29,A2NJV5
HFM1,A2PYH4
HFM1,A2PYH4
ZNF320,A2RRD8
ZNF320,A2RRD8
WDR27,A2RRH5
TMEM213,A2RRL7
NBAS,A2RRP1
TARSL2,A2RTX5
HEATR9,A2RTY3
TMEM218,A2RU14
TMEM218,A2RU14
TESPA1,A2RU30
TESPA1,A2RU30
HGNC:33817,A2RU37
C9orf170,A2RU37
SMCO3,A2RU48
SMCO3,A2RU48
HYKK,A2RU49
HMX2,A2RU54
HMX2,A2RU54
FAM234B,A2RU67
MEIOC,A2RUB1
CCDC66,A2RUB6
TYW5,A2RUC4
MYBPHL,A2RUH7
HGNC:34412,A2RUQ5
C17orf102,A2RUQ5
CCDC144A,A2RUR9
DENND3,A2RUS2
TMEM89,A2RUT3
CLPSL1,A2RUU4
DCDC2B,A2VCK2
FUOM,A2VDF0
TMEM131L,A2VDJ0
SSPO,A2VEC9
OR2M5,A3KFT3
VWA8,A3KMH1
SBNO1,A3KN83
HGNC:34393,A3QJZ6
PRAMEF27,A3QJZ7
LAMB4,A4D0S4
LAMB4,A4D0S4
HGNC:33712,A4D0T2
C7orf66,A4D0T2
SMIM30,A4D0T7
SMIM30,A4D0T7
CPED1,A4D0V7
C7orf77,A4D0Y5
ISPD,A4D126
FAM221A,A4D161
HGNC:22364,A4D174
C7orf71,A4D174
GSAP,A4D1B5
ZNF804B,A4D1E1
GTPBP10,A4D1E9
LRRD1,A4D1F6
WDR91,A4D1P6
KLRG2,A4D1S0
RAB19,A4D1S5
PRSS37,A4D1T9
KIAA1147,A4D1U4
GRIFIN,A4D1Z8
BLACE,A4D250
BLACE,A4D250
CDC14C,A4D256
SPATA48,A4D263
SPATA48,A4D263
SPATA48,A4D263
MBLAC1,A4D2B0
MBLAC1,A4D2B0
PMS2P1,A4D2B8
OR2A25,A4D2G3
CTAGE15,A4D2H0
GRID2IP,A4D2P6
MTMR11,A4FU01
CTAGE9,A4FU28
SH3D21,A4FU49
SH3D21,A4FU49
EFCAB5,A4FU69
EFCAB5,A4FU69
EME2,A4GXA9
SLC35F4,A4IF30
SLC35F4,A4IF30
C5orf49,A4QMS7
HGNC:23524,A4QN01
LINC01553,A4QN01
LRP5L,A4QPB2
LRP5L,A4QPB2
PI4KAP2,A4QPH2
