GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	O60513	B4GALT4	enables	GO:0008378	F	ECO:0000304	TAS	PMID:9792633		9606	PINC		20030904
UniProtKB	O60513	B4GALT4	enables	GO:0003945	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.90	9606	UniProt		20201205
UniProtKB	O60568	PLOD3	enables	GO:0033823	F	ECO:0000318	IBA	PMID:21873635	MGI:MGI:1347008|PANTHER:PTN002582343|UniProtKB:O60568	9606	GO_Central		20190819
UniProtKB	O60568	PLOD3	enables	GO:0033823	F	ECO:0000315	IMP	PMID:18298658		9606	UniProt		20180903
UniProtKB	O60568	PLOD3	enables	GO:0050211	F	ECO:0000315	IMP	PMID:18298658		9606	UniProt		20180903
UniProtKB	O60568	PLOD3	enables	GO:0050211	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.50	9606	UniProt		20201205
UniProtKB	O60568	PLOD3	enables	GO:0033823	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.66	9606	UniProt		20201205
UniProtKB	O60568	PLOD3	enables	GO:0050211	F	ECO:0000304	TAS	Reactome:R-HSA-1981128		9606	Reactome		20111109
UniProtKB	O60568	PLOD3	enables	GO:0033823	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q9R0E1|ensembl:ENSMUSP00000004968	9606	Ensembl		20201205
UniProtKB	O60568	PLOD3	enables	GO:0033823	F	ECO:0000315	IMP	PMID:10934207		9606	CAFA		20160603
UniProtKB	O60656	UGT1A9	enables	GO:0015020	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.17	9606	UniProt		20201205
UniProtKB	O60656	UGT1A9	enables	GO:0015020	F	ECO:0000314	IDA	PMID:18052087		9606	BHF-UCL		20100728
UniProtKB	O60656	UGT1A9	enables	GO:0015020	F	ECO:0000314	IDA	PMID:20056724		9606	BHF-UCL		20100726
UniProtKB	O60656	UGT1A9	enables	GO:0015020	F	ECO:0000314	IDA	PMID:20308471		9606	BHF-UCL	has_input(CHEBI:15367)	20141003
UniProtKB	O60656	UGT1A9	enables	GO:0015020	F	ECO:0000314	IDA	PMID:22579593		9606	UniProt	has_input(CHEBI:6717)	20140529
